day,metric,mean,q025,q975,date,specialty
44,rtt_medianwt,7.5,7.5,7.5,10/11/2022,ENT
44,rtt_nwm78_total,1,1,1,10/11/2022,ENT
44,wl_size,490,490,490,10/11/2022,ENT
45,nwl104_total,0,0,0,11/11/2022,ENT
45,nwl52_total,411,411,411,11/11/2022,ENT
45,nwm104_total,1,1,1,11/11/2022,ENT
45,nwm52_total,87,87,87,11/11/2022,ENT
45,nwm78_total,1,1,1,11/11/2022,ENT
45,rtt_nwm78_total,1,1,1,11/11/2022,ENT
45,wl_size,499,499,499,11/11/2022,ENT
46,nwl104_total,0,0,0,12/11/2022,ENT
46,nwl52_total,414,414,414,12/11/2022,ENT
46,nwm104_total,1,1,1,12/11/2022,ENT
46,nwm52_total,87,87,87,12/11/2022,ENT
46,nwm78_total,1,1,1,12/11/2022,ENT
46,rtt_maxwt,285,285,285,12/11/2022,ENT
46,rtt_meanwt,102.75,102.75,102.75,12/11/2022,ENT
46,rtt_medianwt,59,59,59,12/11/2022,ENT
46,rtt_nwm78_total,1,1,1,12/11/2022,ENT
46,wl_size,502,502,502,12/11/2022,ENT
47,nwl104_total,0,0,0,13/11/2022,ENT
47,nwl52_total,414,414,414,13/11/2022,ENT
47,nwm104_total,1,1,1,13/11/2022,ENT
47,nwm52_total,87,87,87,13/11/2022,ENT
47,nwm78_total,1,1,1,13/11/2022,ENT
47,rtt_maxwt,9,9,9,13/11/2022,ENT
47,rtt_meanwt,8.5,8.5,8.5,13/11/2022,ENT
47,rtt_medianwt,8.5,8.5,8.5,13/11/2022,ENT
47,rtt_nwm78_total,1,1,1,13/11/2022,ENT
47,wl_size,502,502,502,13/11/2022,ENT
48,nwl104_total,0,0,0,14/11/2022,ENT
48,nwl52_total,416,416,416,14/11/2022,ENT
48,nwm104_total,1,1,1,14/11/2022,ENT
48,nwm52_total,87,87,87,14/11/2022,ENT
48,nwm78_total,1,1,1,14/11/2022,ENT
48,rtt_maxwt,8,8,8,14/11/2022,ENT
48,rtt_meanwt,8,8,8,14/11/2022,ENT
48,rtt_medianwt,8,8,8,14/11/2022,ENT
48,rtt_nwm78_total,1,1,1,14/11/2022,ENT
48,wl_size,504,504,504,14/11/2022,ENT
49,nwl104_total,0,0,0,15/11/2022,ENT
49,nwl52_total,415,415,415,15/11/2022,ENT
49,nwm104_total,1,1,1,15/11/2022,ENT
49,nwm52_total,87,87,87,15/11/2022,ENT
49,nwm78_total,1,1,1,15/11/2022,ENT
49,rtt_maxwt,8,8,8,15/11/2022,ENT
49,rtt_meanwt,8,8,8,15/11/2022,ENT
49,rtt_medianwt,8,8,8,15/11/2022,ENT
49,rtt_nwm78_total,1,1,1,15/11/2022,ENT
49,wl_size,503,503,503,15/11/2022,ENT
50,nwl104_total,0,0,0,16/11/2022,ENT
50,nwl52_total,410,410,410,16/11/2022,ENT
50,nwm104_total,1,1,1,16/11/2022,ENT
50,nwm52_total,91,91,91,16/11/2022,ENT
50,nwm78_total,1,1,1,16/11/2022,ENT
50,rtt_maxwt,9,9,9,16/11/2022,ENT
50,rtt_meanwt,8.2,8.2,8.2,16/11/2022,ENT
50,rtt_medianwt,8,8,8,16/11/2022,ENT
50,rtt_nwm78_total,1,1,1,16/11/2022,ENT
50,wl_size,502,502,502,16/11/2022,ENT
51,nwl104_total,0,0,0,17/11/2022,ENT
51,nwl52_total,411,411,411,17/11/2022,ENT
51,nwm104_total,1,1,1,17/11/2022,ENT
51,nwm52_total,91,91,91,17/11/2022,ENT
51,nwm78_total,1,1,1,17/11/2022,ENT
51,rtt_maxwt,40,40,40,17/11/2022,ENT
51,rtt_meanwt,24,24,24,17/11/2022,ENT
51,rtt_medianwt,24,24,24,17/11/2022,ENT
51,rtt_nwm78_total,1,1,1,17/11/2022,ENT
51,wl_size,503,503,503,17/11/2022,ENT
52,nwl104_total,0,0,0,18/11/2022,ENT
52,nwl52_total,414,414,414,18/11/2022,ENT
52,nwm104_total,1,1,1,18/11/2022,ENT
52,nwm52_total,91,91,91,18/11/2022,ENT
52,nwm78_total,1,1,1,18/11/2022,ENT
52,rtt_nwm78_total,1,1,1,18/11/2022,ENT
52,wl_size,506,506,506,18/11/2022,ENT
53,nwl104_total,0,0,0,19/11/2022,ENT
53,nwl52_total,416,416,416,19/11/2022,ENT
53,nwm104_total,1,1,1,19/11/2022,ENT
53,nwm52_total,91,91,91,19/11/2022,ENT
53,nwm78_total,1,1,1,19/11/2022,ENT
53,rtt_maxwt,40,40,40,19/11/2022,ENT
53,rtt_meanwt,40,40,40,19/11/2022,ENT
53,rtt_medianwt,40,40,40,19/11/2022,ENT
53,rtt_nwm78_total,1,1,1,19/11/2022,ENT
53,wl_size,508,508,508,19/11/2022,ENT
